TXT003,TXT001
40006,ECONOMIA PARA LOS NEGOCIOS
40008,TECNICAS Y HERRAMIENTAS DE INVESTIGACION
40009,INNOVACION Y CREACION DE VALOR
40010,GESTION DEL EMPRENDIMIENTO
40011,DIRECCION ESTRATEGICA Y LIDERAZGO
40012,HABILIDADES DE PRESENTACION Y PERSUASION
40013,TALLER DE INVESTIGACION APLICADA E INNOVACION
40014,SOSTENIBILIDAD ORGANIZACIONAL
40015,GESTION DE CAMBIO
40017,GESTION DE LA EXPERIENCIA DEL CONSUMIDOR (CX)
40018,MARKETING SOSTENIBLE Y RESPONSABLE
40019,CREACION Y DESARROLLO DE MARCA
40020,NUEVAS TECNOLOGIAS APLICADAS AL MARKETING
40021,CULTURA Y ECOSISTEMAS DIGITALES
40022,"DISEÑO, CREACION Y PRODUCCION DE CONTENIDOS"
40023,ESTRATEGIAS DE COMUNICACION DIGITAL DE MARCA
40024,GESTION DE LA CRISIS COMUNICACIONAL
40025,PLANEAMIENTO ESTRATEGICO DE LA COMUNICACION
40026,HABILIDADES DIRECTIVAS
40028,HERRAMIENTAS TECNOLOGICAS PARA LA GESTION
40029,NUEVAS TECNOLOGIAS PUBLICITARIAS
40031,DIRECCION DE CAMPAÑAS DE PUBLICIDAD DIGITAL
40032,ESTRATEGIA DIGITAL PUBLICITARIA
40033,PROCESOS EMPRESARIALES
40034,METODOLOGIAS PARA LA GESTION DE PROYECTOS
40035,INTEGRACION DE PROCESOS EMPRESARIALES
40036,PLANEAMIENTO ESTRATEGICO DE SISTEMAS DE INFORMACION
40038,INTELIGENCIA DE NEGOCIOS
40039,TECNOLOGIAS EMERGENTES
40040,HABILITADORES PARA LA TRANSFORMACION DIGITAL
40041,RELACIONES INTERNACIONALES
40042,INTERCULTURALIDAD EN LOS NEGOCIOS
40043,ESTRATEGIAS DE NEGOCIACION GLOBAL
40044,PLAN COMERCIAL GLOBAL
40045,ESTRATEGIA COMERCIAL Y REVENUE MANAGEMENT
40046,REAL ESTATE & ASSET MANAGEMENT
40047,TECNOLOGIA PARA LA HOTELERIA
40049,DISEÑO DE EXPERIENCIAS
40050,CONCEPTUALIZACION ESTRATEGICA
40051,NEGOCIO Y ESTRATEGIA DE DISEÑO
40052,GESTIÓN DE DISEÑO INDEPENDIENTE
40053,DESIGN MANAGEMENT
40054,FINANZAS CORPORATIVAS
40057,GESTION ESTRATEGICA DE CONTENIDOS DIGITALES
40061,DIRECCION COMERCIAL Y DE MARKETING
40068,ANALITICA PARA LA TOMA DE DECISIONES
40069,PSICOLOGIA DEL CONSUMIDOR Y ESTRATEGIAS DE COMUNICACION
40070,ESTRATEGIAS AVANZADAS DE MARKETING DIGITAL Y SOCIAL MEDIA
40071,SEMIOTICA PERIODISTICA
40072,INTRODUCCION A LA METODOLOGIA BIM
40073,PAISAJISMO Y JARDINERIA
40079,ESTRATEGIAS INTEGRALES DE RECOMPENSAS AL COLABORADOR
40080,OUTSOURCING Y RELACIONES LABORALES
